,age,numclaims,veh_age,veh_value
103,2,0,1,1.72
104,2,0,2,3.02
105,1,0,3,1.83
106,1,0,3,0.73
107,1,0,3,0.44
108,0,0,3,1.36
109,1,0,2,2.14
110,0,0,2,0.9
111,3,0,1,1.53
112,1,0,3,1.1
113,2,0,0,1.48
114,3,0,3,0.73
115,0,0,1,2.12
116,0,0,2,1.43
117,2,0,2,1.55
118,3,0,3,0.73
119,1,0,2,0.74
120,2,0,3,0.84
121,1,0,0,1.36
122,3,0,1,3.37
123,1,1,1,1.99
124,0,0,1,4.05
125,2,0,3,0.95
126,3,0,1,1.38
127,0,0,1,6.14
128,2,0,1,1.3
129,1,0,1,3.2
130,0,0,0,5.699
131,1,0,1,4.05
132,2,0,3,0.35
133,2,0,2,1.4
134,0,0,3,0.77
135,2,0,2,1.88
136,1,0,1,1.85
137,1,0,1,1.12
138,0,0,1,1.85
139,1,0,0,1.43
140,2,0,2,2.84
141,2,0,0,2.44
142,0,0,1,1.51
143,1,0,1,3.97
144,0,0,1,1.25
145,0,0,2,0.74
146,1,0,0,4.48
147,1,0,1,1.77
148,1,0,2,0.77
149,0,0,1,3.34
150,2,0,0,2.36
151,0,0,0,2.75
152,2,0,0,1.8353
153,0,0,0,2.88
154,3,0,0,2.14
155,1,0,0,4.709
156,1,0,1,2.53
157,1,0,3,0.39
158,1,0,1,3.04
159,1,0,2,1.49
160,1,0,0,1.77
161,2,0,1,1.98
162,1,0,2,0.93
163,0,0,2,1.28
164,2,1,2,1.24
165,2,0,2,2.62
166,1,0,1,1.74
167,1,1,3,0.46
168,2,0,3,0.83
169,1,0,1,1.8
170,2,0,0,2.78
171,3,0,0,3.399
172,3,0,3,0.77
173,3,0,3,1.28
174,1,0,0,3.82
175,2,0,3,0.44
176,1,0,2,1.14
177,1,0,2,0.83
178,1,0,1,1.13
179,0,0,1,1.25
180,1,0,0,1.86
181,3,0,1,1.8
182,1,0,2,1.06
183,0,0,3,0.79
184,0,0,0,2.06
185,1,0,1,2.26
186,1,0,2,1.18
187,1,0,2,1.03
188,0,0,3,0.52
189,3,0,1,1.4
190,0,0,0,1.32
191,2,0,3,0.68
192,1,0,2,1.17
193,2,0,3,1.53
194,2,0,2,2.63
195,1,0,1,2.03
196,0,0,3,0.42
197,0,0,2,1.13
198,2,0,2,1.05
199,0,0,3,0.35
200,2,0,1,10.21
201,1,0,2,1.08
202,1,0,2,2.78
203,2,0,2,2.77
204,3,0,0,2.698
205,1,0,3,1.79
206,0,1,0,1.37
207,2,0,3,0.44
208,0,0,2,0.76
209,0,0,2,1.31
210,1,0,3,0.85
211,3,0,0,3.3
212,1,0,3,1.99
213,2,0,1,2.15
214,1,0,1,4.28
215,3,0,2,1.42
216,3,0,2,0.88
217,3,1,0,3.549
218,3,0,0,1.399
219,1,0,3,0.86
220,1,0,3,0.96
221,3,0,3,0.85
222,2,1,3,0.99
223,0,0,0,5.63
224,1,0,1,1.55
225,1,0,2,4.0
226,1,0,0,2.75
227,0,0,1,1.98
228,0,0,3,0.37
229,3,0,2,1.5
230,1,0,2,6.27
231,1,0,3,0.57
232,0,0,1,2.15
233,2,0,0,1.45
234,3,0,2,1.55
235,0,0,3,0.52
236,3,0,1,2.28
237,0,0,0,1.428
238,2,0,1,1.54
239,2,1,0,4.7
240,0,0,0,1.45
241,0,0,3,0.74
242,0,0,3,1.13
243,0,1,3,0.74
244,1,0,1,2.55
245,3,0,1,1.81
246,1,0,3,0.45
247,2,0,3,0.7
248,1,0,3,1.93
249,1,0,3,1.05
250,1,0,1,3.1
251,1,0,2,2.08
252,1,0,2,2.44
253,0,0,0,1.43
254,2,0,1,5.18
255,1,0,0,1.9
256,2,0,3,0.41
257,0,0,1,1.85
258,1,0,0,3.46
259,0,0,3,1.31
260,1,0,1,1.88
261,2,0,2,1.51
262,1,0,0,4.5
263,1,0,3,1.36
264,2,0,3,0.79
265,1,0,0,2.11
266,0,0,1,1.56
267,1,0,3,0.8
268,1,0,3,0.52
269,3,0,1,1.78
270,1,0,1,1.93
271,1,0,2,0.97
272,0,0,2,1.22
273,2,0,2,1.18
274,0,0,2,3.06
275,0,0,2,3.57
276,0,0,1,1.87
277,1,1,1,1.56
278,3,0,2,1.34
279,3,0,3,0.45
280,2,0,0,4.45
281,1,0,2,0.96
282,2,0,3,1.86
283,2,0,3,0.7
284,3,0,3,1.27
285,2,0,1,2.87
286,3,0,2,0.89
287,3,0,3,0.51
288,3,3,1,1.8
289,2,0,3,0.68
290,2,0,3,0.82
291,0,0,1,5.74
292,1,0,2,1.17
293,3,0,3,0.95
294,0,0,2,3.09
295,1,0,3,0.54
296,1,0,2,1.4
297,2,0,1,1.23
298,1,0,3,1.11
299,2,0,2,2.51
300,1,0,2,1.06
301,1,0,1,4.31
302,0,0,1,1.53
303,1,0,2,1.47
304,2,0,2,2.16
305,0,0,3,1.82
306,0,0,3,0.95
307,0,0,1,3.0
308,0,0,1,1.85
309,2,0,2,0.89
310,1,0,0,3.09
311,1,0,0,4.52
312,1,0,1,7.42
313,0,0,1,1.37
314,1,0,3,0.37
315,3,0,2,0.97
316,0,0,0,2.01
317,1,0,3,1.4
318,3,0,3,0.61
319,2,0,3,0.37
320,3,0,2,1.13
321,1,0,2,3.39
322,3,0,3,1.91
323,1,0,3,1.19
324,3,0,3,0.69
325,3,0,1,1.77
326,0,0,1,1.31
327,1,0,2,1.17
328,1,0,3,0.39
329,1,0,0,1.35
330,1,0,3,0.43
331,1,0,1,1.61
332,1,0,3,0.86
333,1,0,2,1.13
334,1,0,1,3.26
335,3,1,0,1.39
336,1,0,2,3.52
337,1,0,3,0.5
338,1,0,3,0.38
339,0,0,3,0.37
340,1,0,0,1.34
341,1,0,3,0.69
342,2,0,3,0.48
343,3,0,0,2.76
344,1,0,3,0.51
345,0,0,1,3.55
346,3,0,2,1.26
347,3,0,1,1.22
348,1,0,2,1.17
349,3,0,2,1.34
350,1,0,0,4.7
351,0,1,3,0.79
352,1,0,3,0.72
353,1,0,3,0.35
354,0,0,2,2.99
355,2,0,3,0.39
356,1,0,2,0.73
357,1,0,3,1.77
358,1,0,1,5.47
359,1,0,2,1.22
360,0,0,2,0.89
361,1,0,3,2.31
362,0,0,1,1.48
363,1,0,1,1.96
364,0,0,3,0.7
365,0,0,1,1.17
366,2,0,0,2.83
367,1,0,1,0.93
368,0,0,3,2.05
369,3,0,1,1.82
370,0,0,3,1.22
371,1,0,2,1.38
372,1,0,0,1.49
373,1,0,0,1.77
374,1,0,3,0.8
375,1,0,2,0.84
376,0,0,2,3.56
377,1,1,2,1.65
378,1,0,3,0.44
379,1,0,0,3.19
380,1,1,3,1.19
381,1,0,1,3.7
382,1,0,1,5.27
383,0,0,2,1.3
384,3,0,3,0.98
385,3,0,3,0.4
386,3,0,1,1.84
387,1,0,1,1.89
388,3,0,3,0.85
389,3,0,0,1.578
390,2,0,3,1.48
391,3,0,2,2.85
392,2,0,3,0.48
393,2,0,3,0.77
394,1,0,2,0.99
395,2,0,1,1.98
396,1,1,1,4.25
397,1,0,2,1.46
398,1,0,2,1.25
399,2,0,3,2.04
400,2,0,3,1.89
401,0,0,0,3.84
402,2,0,0,4.61
403,1,1,3,1.99
404,0,0,3,0.39
405,1,0,2,1.05
406,1,0,3,1.06
407,1,0,2,1.77
408,1,0,1,2.34
409,3,0,3,0.65
410,1,0,3,1.27
411,1,0,2,1.08
412,1,0,3,1.29
413,2,0,1,1.64
414,1,0,3,1.0
415,1,0,1,1.31
416,2,0,3,0.7
417,0,0,3,1.62
418,1,0,1,1.38
419,1,0,3,2.04
420,1,0,2,1.64
421,0,0,2,0.92
422,3,0,3,1.43
423,1,0,2,1.15
424,0,0,0,5.633
425,0,0,3,0.31
426,1,0,3,0.72
427,1,0,2,1.32
428,0,0,0,2.02
429,1,0,2,1.78
430,3,0,0,1.77
431,2,0,1,4.79
432,3,0,3,0.76
433,0,0,0,2.05
434,2,0,3,0.59
435,0,0,3,1.12
436,1,0,1,1.92
437,2,0,0,2.49
438,1,0,3,1.13
439,3,0,1,1.74
440,3,0,3,0.31
441,1,0,1,1.62
442,1,0,0,2.88
443,1,0,0,4.92
444,1,0,2,1.26
445,2,0,3,1.55
446,3,0,0,1.6143
447,1,0,0,1.76
448,3,0,3,0.71
449,2,0,3,0.27
450,3,0,3,0.83
451,1,0,2,1.29
452,0,0,2,0.99
453,2,0,3,0.77
454,2,0,3,0.71
455,1,0,1,2.25
456,1,0,3,0.71
457,0,0,2,1.92
458,1,1,0,1.428
459,2,0,2,1.47
460,0,0,1,2.28
461,3,0,3,1.9
462,3,0,1,1.76
463,1,0,2,1.08
464,1,0,2,0.8
465,3,0,1,1.92
466,1,0,2,1.03
467,1,0,1,1.39
468,2,0,1,2.44
469,0,0,2,2.58
470,0,0,3,0.95
471,1,0,2,1.86
472,0,0,3,0.88
473,1,0,0,1.37
474,2,0,2,0.85
475,0,1,0,1.74
476,0,0,0,8.45
477,0,1,0,2.43
478,1,0,2,2.4
479,1,0,0,1.578
480,1,0,1,1.71
481,1,1,0,3.28
482,0,0,0,2.9
483,1,0,1,1.04
484,0,0,3,0.27
485,1,0,1,2.65
486,0,0,1,1.03
487,1,0,2,1.91
488,1,0,2,2.5
489,0,0,3,0.83
490,2,0,2,1.58
491,3,0,0,2.43
492,0,0,1,1.84
493,0,0,3,0.54
494,1,1,2,1.42
495,1,0,0,3.15
496,1,1,1,4.85
497,1,0,2,1.97
498,1,0,3,0.39
499,1,0,0,4.44
500,3,1,0,2.44
501,2,0,3,1.19
502,0,0,3,0.5
503,3,0,3,0.41
504,1,0,0,2.45
505,2,0,2,1.97
506,0,0,0,2.099
507,3,0,3,0.73
508,3,0,0,2.2
509,2,0,3,0.24
510,1,0,3,0.38
511,2,0,2,0.85
512,1,0,1,2.18
513,3,0,1,2.08
514,1,0,3,0.73
515,1,0,3,1.16
516,1,0,3,1.45
517,0,0,3,1.44
518,0,0,1,1.5
519,1,0,1,3.79
520,1,0,0,2.27
521,2,0,1,2.71
522,1,1,2,1.59
523,0,0,1,7.71
524,1,0,1,6.06
525,3,0,0,1.71
526,3,0,1,1.96
527,3,0,1,2.15
528,1,0,1,1.64
529,2,0,3,1.32
530,2,1,2,2.41
531,0,0,3,1.89
532,1,0,2,2.72
533,1,0,2,0.85
534,1,0,0,2.6
535,1,0,1,3.3
536,1,0,2,0.81
537,1,0,3,0.3
538,3,0,3,0.37
539,3,0,3,0.54
540,2,1,0,1.86
541,2,0,1,1.9
542,1,0,3,1.16
543,1,0,0,2.27
544,1,0,3,1.22
545,3,0,0,2.23
546,1,0,0,2.27
547,2,0,3,0.3
548,1,0,1,1.61
549,3,0,1,1.88
550,1,0,3,0.6
551,1,0,3,1.12
552,1,0,2,0.71
553,2,0,0,2.92
554,0,0,2,3.1
555,0,0,2,1.13
556,0,0,0,1.35
557,1,0,1,1.58
558,1,0,1,1.45
559,1,0,3,0.35
560,0,0,1,3.17
561,1,0,3,0.71
562,1,0,0,2.47
563,3,0,1,1.75
564,0,0,1,3.65
565,1,0,3,1.15
566,0,0,3,0.7
567,1,0,1,2.45
568,2,0,3,0.44
569,1,0,1,2.23
570,1,0,1,3.26
571,1,0,0,11.49
572,0,0,3,1.13
573,0,0,2,2.89
574,2,0,2,1.44
575,1,0,1,2.85
576,0,0,2,0.89
577,1,0,0,2.74
578,1,0,2,5.08
579,3,0,3,0.67
580,1,0,3,1.26
581,1,0,3,0.74
582,2,0,2,1.6
583,1,0,2,0.88
584,1,0,1,1.92
585,1,0,2,2.95
586,2,0,2,1.43
587,3,0,3,1.16
588,1,0,1,1.72
589,3,0,2,1.18
590,2,0,1,1.6
591,1,0,2,0.84
592,0,0,2,2.05
593,0,0,2,1.17
594,0,0,3,1.46
595,1,0,1,4.0
596,1,0,1,1.86
597,1,0,0,2.67
598,3,0,1,1.61
599,2,0,0,2.65
600,2,0,0,2.51
601,1,0,3,0.44
602,3,0,0,1.37
603,3,0,2,1.29
604,1,0,0,2.88
605,0,0,1,1.75
606,1,0,3,0.58
607,3,0,2,1.0
608,1,0,3,1.39
609,3,0,3,0.44
610,1,0,1,1.79
611,1,0,3,0.44
612,2,1,2,2.66
613,2,0,3,0.51
614,1,1,1,2.66
615,3,0,3,0.74
616,3,0,2,1.22
617,3,0,1,1.78
618,0,0,1,1.13
619,1,0,2,1.29
620,0,0,3,0.44
621,2,0,2,1.01
622,1,0,3,0.82
623,1,0,3,0.31
624,0,0,0,1.7
625,0,0,0,2.43
626,2,0,0,2.02
627,0,1,2,2.24
628,1,0,2,1.89
629,2,0,1,1.36
630,3,0,3,2.03
631,3,0,1,1.92
632,1,0,2,1.66
633,2,1,0,1.31
634,1,0,1,3.25
635,1,1,3,0.4
636,0,0,2,1.9
637,2,0,1,1.47
638,0,0,2,1.34
639,1,0,0,1.85
640,0,0,0,2.76
641,1,0,2,1.98
642,0,0,2,1.49
643,2,0,1,1.64
644,2,0,1,1.41
645,2,0,2,0.8
646,1,1,3,0.73
647,1,0,1,2.82
648,1,0,3,2.41
649,2,0,1,1.58
650,1,0,2,3.32
651,1,0,2,1.51
652,1,0,3,0.43
653,1,0,2,2.09
654,1,0,0,3.13
655,3,0,2,0.75
656,0,0,1,1.26
657,3,0,2,1.38
658,2,0,3,1.18
659,0,0,2,0.81
660,2,0,2,1.54
661,1,0,0,3.36
662,3,0,0,1.28
663,1,0,2,2.51
664,1,0,1,1.71
665,2,0,0,5.51
666,1,0,1,1.97
667,1,0,0,1.35
668,1,0,2,0.84
669,1,0,2,1.38
670,0,0,0,2.198
671,0,0,0,1.71
672,1,0,1,1.84
673,2,0,2,1.36
674,1,0,1,2.61
675,3,0,1,4.08
676,1,0,2,2.5
677,0,0,1,4.3
678,1,0,0,2.45
679,2,0,3,0.67
680,0,0,2,2.42
681,3,0,0,3.85
682,2,0,2,0.96
683,2,0,0,2.03
684,1,0,1,1.75
685,3,0,2,1.64
686,3,0,3,0.83
687,3,0,3,0.75
688,0,0,3,0.44
689,2,0,1,1.28
690,0,0,2,1.39
691,1,0,3,0.88
692,1,0,3,0.43
693,0,0,1,1.41
694,1,0,1,1.9
695,1,0,1,3.27
696,1,0,3,0.38
697,1,0,2,0.84
698,1,0,0,5.56
699,2,0,1,4.2
700,2,1,0,3.29
701,0,0,2,1.3
702,0,1,1,1.52
703,1,0,2,3.04
704,3,0,2,2.25
705,1,0,3,0.37
706,1,0,2,0.98
707,1,1,2,1.02
708,1,0,3,0.88
709,0,0,0,2.53
710,2,0,1,4.27
711,1,0,2,1.28
712,0,0,1,1.5
713,1,0,0,2.42
714,0,0,3,0.84
715,1,0,2,1.24
716,1,1,0,1.85
717,0,0,2,1.14
718,1,0,2,1.73
719,3,1,2,1.15
720,3,0,3,0.45
721,3,0,3,1.02
722,2,0,3,0.31
723,3,0,3,0.71
724,3,0,3,0.7
725,1,0,3,1.05
726,1,0,0,2.31
727,2,0,1,3.93
728,2,0,2,1.84
729,3,0,1,2.13
730,3,0,3,0.41
731,0,0,3,2.39
732,2,0,3,1.91
733,0,0,3,1.05
734,1,0,3,1.02
735,2,0,3,0.8
736,2,0,3,1.05
737,1,0,1,1.46
738,3,0,0,2.92
739,3,0,2,1.21
740,2,0,2,0.97
741,0,0,3,1.67
742,3,0,2,1.99
743,2,0,3,0.41
744,1,0,3,0.4
745,2,0,3,1.25
746,1,0,2,0.84
747,3,0,1,1.18
748,2,0,3,0.72
749,3,0,3,0.58
750,1,0,3,0.5
751,1,0,0,1.79
752,3,0,3,0.66
753,3,0,3,0.66
754,2,0,1,1.76
755,1,0,0,1.71
756,0,0,3,1.91
757,3,0,1,1.86
758,1,0,2,1.05
759,3,0,1,3.67
760,1,0,2,2.94
761,2,0,1,2.19
762,0,0,0,7.47
763,1,0,3,0.89
764,1,0,2,0.9
765,3,0,3,0.41
766,2,0,3,1.91
767,0,0,1,3.68
768,1,0,3,0.54
769,2,0,1,5.27
770,3,0,0,2.2
771,1,0,3,2.37
772,0,0,2,0.91
773,1,0,3,0.74
774,0,0,2,0.78
775,1,0,1,1.66
776,2,0,1,1.67
777,3,0,1,1.26
778,1,0,0,2.02
779,2,0,0,1.86
780,1,0,1,1.9
781,1,0,1,1.95
782,1,0,3,1.33
783,1,0,2,1.06
784,1,0,1,1.67
785,3,0,3,1.33
786,0,0,3,0.31
787,0,1,0,2.66
788,1,0,2,3.34
789,1,0,3,0.79
790,1,0,2,0.82
791,1,1,3,0.78
792,0,0,2,1.3
793,2,0,2,0.86
794,1,0,1,1.6
795,0,0,1,1.68
796,1,1,3,0.6
797,1,0,2,2.43
798,1,0,3,0.34
799,1,1,1,3.74
800,0,0,3,0.68
801,0,0,3,1.19
802,1,0,1,1.75
803,2,0,0,4.85
804,1,1,3,0.41
805,3,0,2,1.38
806,1,0,1,2.14
807,1,0,1,2.61
808,3,0,1,2.14
809,3,0,3,1.62
810,1,0,1,1.99
811,1,0,2,0.83
812,1,0,3,0.69
813,3,0,0,2.67
814,2,0,3,0.41
815,0,0,1,1.92
816,1,0,0,2.31
817,1,0,2,0.79
818,3,0,2,1.37
819,1,0,2,0.85
820,1,1,0,1.399
821,1,0,2,2.5
822,2,0,1,1.59
823,2,0,1,1.52
824,1,1,2,1.46
825,0,0,3,0.37
826,0,0,2,2.32
827,0,0,0,1.28
828,1,0,3,0.44
829,0,0,3,0.41
830,1,0,0,5.46
831,2,0,1,2.64
832,2,0,3,2.13
833,1,0,3,4.31
834,2,0,3,1.52
835,1,0,3,0.79
836,0,0,2,1.1
837,2,0,1,1.73
838,1,0,3,0.44
839,2,0,2,1.62
840,3,0,3,0.55
841,0,0,1,1.74
842,1,0,0,5.553
843,2,0,2,1.87
844,3,0,0,2.93
845,1,0,3,0.41
846,2,0,2,2.25
847,2,1,3,0.48
848,1,0,0,5.633
849,3,0,3,0.31
850,3,0,3,0.39
851,3,1,0,2.43
852,1,0,3,1.5
853,3,0,3,0.51
854,1,0,0,1.35
855,1,0,3,1.04
856,0,0,3,0.85
857,2,1,0,3.399
858,1,0,1,2.34
859,1,0,3,1.21
860,1,0,3,0.41
861,0,0,2,0.88
862,1,0,2,0.77
863,1,1,1,5.27
864,0,0,1,4.22
865,1,0,3,1.13
866,1,0,2,1.68
867,1,0,3,1.63
868,2,0,3,1.95
869,2,0,0,14.8
870,1,0,2,1.13
871,1,2,1,1.93
872,1,1,3,0.43
873,2,0,2,1.16
874,0,0,0,2.02
875,1,0,1,1.8
876,2,0,0,3.11
877,1,0,1,2.22
878,3,1,1,1.57
879,0,2,3,0.59
880,1,0,1,1.78
881,1,0,1,3.58
882,0,0,2,0.76
883,3,0,3,0.41
884,1,1,2,1.37
885,1,0,1,1.99
886,0,0,2,4.0
887,1,0,2,1.54
888,1,0,1,1.89
889,1,0,0,3.25
890,0,1,3,0.58
891,1,0,3,1.71
892,1,0,1,1.6
893,2,0,3,0.65
894,1,0,3,0.83
895,0,0,3,1.05
896,1,0,0,1.31
897,1,0,3,0.79
898,3,0,2,1.14
899,0,0,2,1.15
900,1,0,2,1.44
901,0,0,2,1.17
902,3,0,2,1.15
903,3,0,3,0.35
904,3,0,0,2.699
905,1,0,3,0.77
906,3,0,3,0.4
907,3,0,1,1.56
908,2,0,0,1.87
909,2,0,1,1.6
910,2,0,3,1.32
911,2,0,2,2.42
912,2,0,3,0.69
913,0,0,2,1.85
914,0,0,3,0.72
915,1,0,3,0.37
916,0,0,2,0.8
917,3,0,1,1.74
918,1,0,2,0.98
919,1,0,3,1.73
920,1,0,2,1.83
921,1,0,3,0.46
922,0,0,1,4.03
923,1,0,1,1.31
924,3,0,2,0.44
925,2,0,2,1.29
926,1,0,1,1.82
927,1,0,0,1.6
928,2,0,0,1.6
929,1,0,2,1.3
930,3,0,3,1.94
931,0,0,2,0.78
932,1,0,2,1.86
933,2,0,2,4.0
934,2,0,2,2.62
935,1,0,2,1.8
936,0,0,1,1.34
937,0,0,0,1.55
938,1,0,2,1.75
939,1,0,2,2.25
940,1,1,1,3.64
941,0,0,3,1.73
942,1,0,0,6.05
943,1,1,3,1.55
944,1,1,2,1.86
945,2,0,1,2.7
946,1,0,3,0.6
947,1,0,1,1.9
948,1,0,2,1.11
949,0,0,0,2.68
950,0,1,3,1.16
951,0,0,2,1.5
952,1,0,0,1.428
953,1,0,2,2.92
954,3,0,1,1.58
955,1,0,0,2.94
956,0,0,3,0.52
957,3,0,3,0.28
958,3,0,1,1.58
959,2,0,2,0.77
960,1,0,2,1.12
961,1,0,2,2.77
962,2,0,1,3.52
963,1,0,2,1.12
964,1,0,2,0.91
965,3,0,3,0.95
966,1,0,3,1.17
967,1,0,3,0.8
968,3,0,1,1.84
969,2,0,3,0.45
970,1,0,0,1.37
971,0,0,3,1.96
972,0,0,0,2.83
973,0,0,2,1.04
974,3,0,0,1.92
975,0,0,1,1.66
976,0,0,0,5.7
977,1,0,1,4.0
978,1,0,3,0.83
979,0,0,2,1.29
980,2,0,0,4.47
981,2,0,3,1.18
982,3,0,2,1.17
983,3,0,2,1.18
984,2,0,1,2.32
985,3,0,2,1.04
986,3,0,3,1.93
987,2,0,0,1.84
988,3,0,3,0.51
989,1,0,3,0.73
990,0,0,1,1.36
991,3,0,2,1.35
992,1,0,2,0.93
993,1,0,2,0.93
994,1,0,3,1.63
995,0,0,3,1.33
996,1,0,0,1.37
997,0,0,3,1.36
998,3,0,1,2.34
999,0,0,2,1.4
1000,1,0,0,3.13
1001,0,0,2,1.17
1002,0,0,3,0.52
1003,3,0,1,1.7
1004,1,0,1,3.97
1005,1,1,3,1.5
1006,1,0,1,2.19
1007,0,0,1,1.96
1008,1,0,0,1.73
1009,3,1,3,2.06
1010,3,0,1,1.17
1011,0,0,1,1.44
1012,1,0,1,1.85
1013,1,0,3,1.18
1014,1,0,3,0.46
1015,0,0,3,2.07
1016,2,0,3,0.89
1017,3,0,3,0.45
1018,0,0,2,1.11
1019,0,0,0,4.76
1020,1,0,2,1.58
1021,0,0,2,2.13
1022,2,0,3,0.68
1023,0,0,3,0.54
1024,0,0,1,1.62
1025,0,0,1,0.99
1026,2,0,1,3.52
1027,1,0,0,1.649
1028,1,0,2,4.0
1029,1,0,0,6.62
1030,0,0,2,1.21
1031,0,0,1,1.77
1032,1,0,3,0.47
1033,0,1,2,2.25
1034,1,0,0,1.399
1035,2,0,3,1.95
1036,2,0,1,1.79
1037,1,0,2,0.76
1038,1,0,1,2.01
1039,3,0,1,1.96
1040,2,0,0,1.86
1041,1,0,2,3.31
1042,3,0,3,0.35
1043,3,0,3,1.08
1044,2,0,0,1.5
1045,0,0,2,1.95
1046,1,0,0,4.64
1047,1,0,1,1.8
1048,1,0,1,1.99
1049,1,0,3,0.58
1050,0,0,2,1.23
1051,1,0,1,1.62
1052,0,0,0,1.9
1053,1,1,0,4.78
1054,0,0,3,1.42
1055,3,0,2,1.59
1056,2,0,2,1.16
1057,2,0,3,0.4
1058,1,0,1,1.52
1059,2,0,3,0.46
1060,1,0,2,1.08
1061,3,0,3,0.45
1062,0,0,0,1.71
1063,0,0,3,0.39
1064,3,0,0,2.25
1065,2,0,3,0.95
1066,1,0,3,0.46
1067,1,0,0,1.378
1068,1,0,2,1.05
1069,2,0,3,0.51
1070,0,0,1,3.56
1071,1,0,2,0.92
1072,0,0,2,1.06
1073,1,0,1,1.62
1074,0,0,1,2.38
1075,0,0,3,0.82
1076,0,0,0,8.45
1077,1,0,3,1.19
1078,1,0,1,1.71
1079,1,0,2,0.84
1080,0,0,1,3.18
1081,1,0,2,4.95
1082,1,0,1,2.11
1083,1,0,1,2.55
1084,1,0,3,1.16
1085,1,0,1,1.92
1086,0,0,3,1.22
1087,1,0,1,1.59
1088,1,0,0,3.35
1089,0,0,3,0.64
1090,3,0,3,0.28
1091,0,0,3,1.38
1092,1,0,2,2.77
1093,0,0,2,1.48
1094,3,0,0,1.37
1095,0,0,0,3.01
1096,1,0,3,0.59
1097,1,1,3,0.7
1098,1,0,0,1.49
1099,1,0,2,0.82
1100,3,0,1,2.4
1101,3,0,1,2.4
1102,1,0,1,1.12
1103,1,0,1,1.66
1104,0,0,1,3.6
1105,0,0,3,1.51
1106,0,0,0,2.4
1107,1,0,1,3.68
1108,1,0,3,1.18
1109,1,0,1,2.88
1110,0,0,0,2.68
1111,0,0,0,1.3
1112,2,0,1,5.02
1113,1,0,0,1.35
1114,1,0,3,0.37
1115,3,0,3,0.71
1116,3,0,3,0.61
1117,3,1,1,1.61
1118,1,0,3,1.31
1119,2,0,0,1.399
1120,2,0,0,2.27
1121,1,0,0,1.428
1122,1,0,3,0.82
1123,2,0,2,1.39
1124,2,0,2,2.17
1125,1,0,0,2.91
1126,1,0,3,1.53
1127,3,0,0,2.91
1128,2,0,0,2.66
1129,1,0,1,3.05
1130,2,0,1,1.4
1131,1,0,3,0.35
1132,1,0,1,1.98
1133,3,0,0,4.03
1134,1,0,2,0.97
1135,1,0,0,1.76
1136,1,0,1,2.96
1137,1,0,0,1.28
1138,0,0,0,5.7
1139,1,0,3,0.8
1140,2,0,0,1.89
1141,1,0,1,3.86
1142,0,0,2,1.04
1143,0,0,0,2.42
1144,0,0,3,0.46
1145,1,0,2,1.13
1146,0,0,0,1.38
1147,1,0,3,0.83
1148,0,0,0,4.69
1149,1,0,2,0.9
